frame,droplet_id,area_px,centroid_y,centroid_x,eccentricity,equivalent_diameter_px,perimeter_px,solidity,major_axis_px,minor_axis_px
0,1,6771950.0,1279.7724769084236,1637.6184607092491,0.5536312199428183,2936.3777915944816,716596.6172823745,0.7025156303620119,3728.4280431350676,3104.8930231645604
0,2,4.0,0.25,463.75,0.9128709291752769,2.256758334191025,3.2071067811865475,0.8,3.4641016151377544,1.4142135623730951
0,3,2.0,0.0,823.5,1.0,1.5957691216057308,0.0,1.0,2.0,0.0
0,4,1.0,0.0,970.0,0.0,1.1283791670955126,0.0,1.0,0.0,0.0
0,5,1.0,0.0,1341.0,0.0,1.1283791670955126,0.0,1.0,0.0,0.0
0,6,5.0,0.0,1894.0,1.0,2.5231325220201604,3.0,1.0,5.656854249492381,0.0
0,7,6.0,0.6666666666666666,2782.3333333333335,0.7527288942229057,2.763953195770684,4.621320343559642,0.6,4.4546660002330905,2.9326430520627245
0,8,770.0,13.04935064935065,3910.8792207792208,0.7998386559846294,31.311251163856024,312.90663761154804,0.55,53.270235348564434,31.973597778505326
0,9,2.0,2.0,822.5,1.0,1.5957691216057308,0.0,1.0,2.0,0.0
0,10,7.0,18.571428571428573,3923.8571428571427,0.9004503377814963,2.985410660720923,7.621320343559642,0.7777777777777778,4.9156144383100715,2.1380899352993947
0,11,14.0,22.357142857142858,1186.642857142857,0.6744196699555884,4.222008245644752,13.242640687119284,0.7368421052631579,5.732455410944979,4.232548306352718
0,12,2.0,24.5,2468.0,1.0,1.5957691216057308,0.0,1.0,2.0,0.0
0,13,2.0,28.0,3201.5,1.0,1.5957691216057308,0.0,1.0,2.0,0.0
0,14,1339.0,70.69529499626587,3915.517550410754,0.8213810448324488,41.29004420438882,726.3107499061545,0.4286171574903969,81.49970651729922,46.4857908001779
0,15,1.0,49.0,2090.0,0.0,1.1283791670955126,0.0,1.0,0.0,0.0
0,16,2.0,56.0,3248.5,1.0,1.5957691216057308,0.0,1.0,2.0,0.0
0,17,2.0,59.5,1066.0,1.0,1.5957691216057308,0.0,1.0,2.0,0.0
0,18,1.0,64.0,2648.0,0.0,1.1283791670955126,0.0,1.0,0.0,0.0
0,19,1.0,73.0,2799.0,0.0,1.1283791670955126,0.0,1.0,0.0,0.0
0,20,1.0,75.0,2799.0,0.0,1.1283791670955126,0.0,1.0,0.0,0.0
0,21,1.0,77.0,1175.0,0.0,1.1283791670955126,0.0,1.0,0.0,0.0
0,22,24.0,84.16666666666667,15.125,0.8269097824224445,5.527906391541368,18.27817459305202,0.8275862068965517,7.597367545327608,4.272262702997673
0,23,1.0,89.0,1464.0,0.0,1.1283791670955126,0.0,1.0,0.0,0.0
0,24,2.0,92.5,321.0,1.0,1.5957691216057308,0.0,1.0,2.0,0.0
0,25,1.0,94.0,2069.0,0.0,1.1283791670955126,0.0,1.0,0.0,0.0
0,26,4.0,96.0,322.0,0.0,2.256758334191025,5.656854249492381,0.8,2.8284271247461903,2.8284271247461903
0,27,1.0,96.0,2068.0,0.0,1.1283791670955126,0.0,1.0,0.0,0.0
0,28,3.0,96.66666666666667,2501.6666666666665,0.816496580927726,1.9544100476116797,3.414213562373095,1.0,2.3094010767585034,1.3333333333333333
0,29,1.0,103.0,3753.0,0.0,1.1283791670955126,0.0,1.0,0.0,0.0
0,30,1.0,111.0,1913.0,0.0,1.1283791670955126,0.0,1.0,0.0,0.0
0,31,1.0,113.0,95.0,0.0,1.1283791670955126,0.0,1.0,0.0,0.0
0,32,4.0,122.25,3411.0,0.7905694150420949,2.256758334191025,4.621320343559642,1.0,2.8284271247461903,1.7320508075688772
0,33,9.0,139.33333333333334,76.22222222222223,0.7540837734366003,3.385137501286538,8.82842712474619,0.8181818181818182,4.669516794266921,3.0668370434812893
0,34,1.0,139.0,79.0,0.0,1.1283791670955126,0.0,1.0,0.0,0.0
0,35,1088.0,174.94485294117646,3811.807904411765,0.7325442998508446,37.219411933450225,589.5229073212244,0.4147922226458254,64.28057279517706,43.75703045275689
0,36,1.0,146.0,1492.0,0.0,1.1283791670955126,0.0,1.0,0.0,0.0
0,37,1.0,146.0,1785.0,0.0,1.1283791670955126,0.0,1.0,0.0,0.0
0,38,1.0,148.0,1492.0,0.0,1.1283791670955126,0.0,1.0,0.0,0.0
0,39,25.0,158.28,3493.8,0.8460419477296441,5.641895835477563,23.69238815542512,0.5434782608695652,10.914572807756562,5.818737012804498
0,40,1.0,154.0,976.0,0.0,1.1283791670955126,0.0,1.0,0.0,0.0
0,41,2.0,161.0,1130.5,1.0,1.5957691216057308,0.0,1.0,2.0,0.0
0,42,5.0,169.8,2064.4,0.816496580927726,2.5231325220201604,5.207106781186548,1.0,3.098386676965933,1.7888543819998317
0,43,7.0,174.71428571428572,672.0,0.3779644730092273,2.985410660720923,6.82842712474619,1.0,3.0237157840738176,2.7994168488950604
0,44,318.0,198.07232704402514,3640.7830188679245,0.7180702303238734,20.12188299403865,154.61017305526642,0.6334661354581673,28.83485324651858,20.068211528900083
0,45,1.0,190.0,2745.0,0.0,1.1283791670955126,0.0,1.0,0.0,0.0
0,46,2.0,197.0,1989.5,1.0,1.5957691216057308,0.0,1.0,2.0,0.0
0,47,2.0,198.5,860.0,1.0,1.5957691216057308,0.0,1.0,2.0,0.0
0,48,1.0,201.0,2498.0,0.0,1.1283791670955126,0.0,1.0,0.0,0.0
0,49,1770.0,252.5864406779661,3680.4836158192093,0.8559272015118209,47.4724551101082,827.5361466505707,0.44517102615694165,90.78030700779632,46.942164574241076
